Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner,Count,2004,2007,2008,2009,2010
1_1,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.051989,-96.156885,0,,,,,,
1_2,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.052032,-96.154533,0,,,,,,
1_3,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.051995,-96.153442,1,,,,,,
10_1,Nobles,2004,101,43,30,Norwegian_Creek,in_channel,pool,"gravel, sand",43.528684,-96.033563,1,,,,,,
11_1,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.308552,-96.382092,0,,,,,,
11_10,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.303212,-96.380539,0,,,,,,
11_2,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.308686,-96.38135,0,,,,,,
11_3,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.309014,-96.380806,0,,,,,,
11_4,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.308636,-96.38031,0,,,,,,
11_5,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.307295,-96.380168,0,,,,,,
11_6,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.306752,-96.380121,0,,,,,,
11_7,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.30647,-96.380534,0,,,,,,
11_8,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.305416,-96.378879,0,,,,,,
11_9,Lincoln,2004,110,46,27,Tributary_Medary_creek,off_channel,pool,silt,44.303958,-96.378856,0,,,,,,
12_1,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.253011,-96.413911,0,,,,,,
12_2,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.253014,-96.412854,0,,,,,,
12_3,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.252614,-96.408887,0,,,,,,
12_4,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.252031,-96.40924,1,,,,,,
13_1,Pipestone,2004,108,46,11,Flandreau_Creek,off_channel,pool,"silt, clay",44.179171,-96.335249,0,,,,,,
13_10,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.174892,-96.339489,1,,,,,,
13_2,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.179638,-96.336111,0,,,,,,
13_3,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.179475,-96.337234,0,,,,,,
13_4,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.179736,-96.338519,0,,,,,,
13_5,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.176877,-96.341136,0,,,,,,
13_6,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175982,-96.340794,0,,,,,,
13_7,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175914,-96.340287,0,,,,,,
13_8,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175754,-96.339775,0,,,,,,
13_9,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175174,-96.340164,0,,,,,,
14_1,Pipestone,2004,108,46,30,Willow_creek,in_channel,pool,"boulder, sand, silt",44.133498,-96.424446,1,,,,,,
15_1,Pipestone,2004,107,45,9,Pipestone_Creek,in_channel,pool,"sand, silt",44.095003,-96.257301,1,,,,,,
16_1,Pipestone,2004,107,46,33,Pipestone_Creek,in_channel,pool,"sand, silt",44.023533,-96.368089,1,,,,,,
17_1,Pipestone,2004,105,44,32,Poplar_Creek,in_channel,pool,"silt, sand",43.848995,-96.14509,1,,,,,,
18_1,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.827036,-96.13423,0,,,,,,
18_2,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.827476,-96.135218,0,,,,,,
18_3,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.826642,-96.134769,1,,,,,,
19_1,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.619974,-96.432167,0,,,,,,
