site,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15
1,,,,,,,,,,,,,,,1
2,,,,,,,,,,,,,,1,1
3,,,,,1,,,,0,,,,,,
4,,,1,,,,,,,,,,,,
5,,,,,,,,,,,,,,,0
6,,,,,,,,,0,,,,,,
7,,,,,,,,,,,,,,,0
8,,,1,,,,,,,,,,,,
10,,,1,,,,,,,,,,,,
11,,,,,,,,,1,,,,,,1
12,1,,,,,,,,,,,,,,0
13,,,,,,,,,,,1,,,,
14,,,1,,,,,,,,,,,,
15,,,,,,,1,,,,,,,,
16,,,,,1,1,,,1,,,,,,
18,,,,,,,,,,,,,,,1
19,,,,1,,1,,,,,,,,,
20,,,,,,,,,,0,,,,,
21,,,,,,,,,,,,,1,,
22,,,1,,,,,0,,,,,,,
24,,,,,1,,,,1,,,,,,
25,,,,,,,,0,,,,,,,
26,,,,,,,,,,,,,,,1
28,,,,,,1,,,1,,,,,,
29,,1,,,,,1,,0,,,,,0,
30,,,,,,,,,,,,1,0,,
31,,,,,,,,,,,,,1,,
32,,,,,,,,0,,,,,1,,
34,,,,,,,,,,,,,1,,
35,,,,,,,,0,,,,,,,0
36,,1,,,,,,,,,,,,,
37,,,,,0,,,,,,,,,,
38,,,,,,1,1,,1,,,,,,
39,,,,,,,,,,,,,,,1
40,,,,,,,,,,,,,1,,
41,1,,,,,,,,,,,,,,
42,1,,,,,,,,,,,,,,
43,,,,,,,,,,,,,1,,
44,,1,,,,,,,,,,,,,
45,,,1,,,,,,,,,,,,
46,,,,,,,1,,,,,,,,
47,,,,0,,,,,,,,,,,
48,0,,,,,,,,,,,,,,
49,,1,,,,,,,,,,,,,
50,,,,1,,,,,,,,,,,
51,,,,,1,,,,,,,,,,
52,,,,,,,,0,,,,,,,
53,,,,,,0,,,,,,,,,
54,,,,,,,,,,,,1,,,
55,,,,,,,,,,0,,,,,
56,,,,,,,,1,,,1,1,,,
57,,1,,,,,,,,,,,,,
58,,,,,,,,,,,1,,,,
59,,,,,0,,,,,,,,,,
60,,,,1,,,,,,,,,,,
61,,,,,,1,1,,,,,,,,0
62,,,,,,,0,,,,,,,,
63,,,,,,,1,,,,,,,,
64,2,1,,,1,,1,,0,,,,,,0
65,,,,,,0,,,,,,,,,
66,,,,,1,,,,1,,,,,1,
67,,,,,,,,,,,,,,0,
68,,,1,,,,,,,,,,,,
69,,,,,0,,,,,0,,,,,
70,,,,,,,,,,,1,,,,
71,,,,,,,,,,0,,,,,
72,,,,,,,,,,,,,,,1
73,,,,,,,,,,,,1,,,
74,,1,,,,,,0,,,,,,,
75,,,,,,,0,,,,,0,,,
76,,,,,1,,,,1,,,,,,
78,1,,,,,,,,,,,,,,
79,,0,,,,,,,,,,1,,1,
80,,,,1,,,,,,,,,,,
82,1,,,,,,,1,,,,,,,
83,,,,,1,,,,0,,,,,,
84,,,,,,,,,,,,,,,1
85,,,,,,,,,,,,,,0,
86,,,,,,1,0,,1,,,,,,
87,1,,,,,,,,1,,,,,,
88,,,,,,,0,,,,,,,,
89,,,,,,,,,,1,,,,,
90,,,1,,,,,,,,,,,,
91,,,,,,,,1,,1,,,,,
92,,,,,1,,,,1,,,,,,
93,,,,,,,,0,,,,,,,
94,,,,,,,,,,,1,1,,,
95,,,,,,,0,,,,,,,,
96,,,,,,,,,,,,,,,0
97,1,,,,,,,,,,,,,,
98,,,,,,,,0,,,,,,,
99,,,,,,,,,1,,,,,,
100,,,,,,,,,,,,,,0,
101,,,,,,,,,,,,,0,,
102,,,,0,,,,,,,,,,,
103,,,,,,1,,,0,,,,,,
104,,,,,,,1,,,,,,,,
105,,,,,,,,,0,,,,,,
106,,,1,,,,,,,,,,,,
107,,,,,,,,,,,,1,,,
108,,,,,,,,,,,,,0,,
109,,,1,,,,,,,,,,,,
110,,,,,,,,,,,,1,,,
111,,,,,,,,,,,,,0,,
112,,,,,,0,,,,,,,,,
113,,,,,,,,,,,,,1,,
114,,,,,,,,,,,0,,,,
115,,,,,,,,1,,,,,,,
116,,,,,,,,,0,,,,,,
117,,,,,,,,,,0,,1,,,
119,,1,,,,,,,,,,,,,
120,,,,,,,,,,,,,0,,
121,,,1,,,,,,,,,,,,
122,,,,,,,,,,,,,,,1
123,,,,,,,,,,0,,,,,
124,,,,,,,,,,,,,1,,
125,,0,,,,,,,,,0,,,,
126,,,,,,,1,,,,,,,,
127,1,,,,,,,,0,1,,,,,
128,,,,,,,,,,,1,,,,
131,,,,1,,,,,,,,,,,
132,,1,,1,,1,,,1,1,,1,,,
