lat,long,occurrence,year,siteid
43.5,-95.849,1,2018,1
43.512,-96.093,0,2013,2
43.512,-96.092,1,2008,3
43.513,-95.851,1,2006,4
43.514,-96.341,0,2017,5
43.514,-96.085,0,2019,6
43.514,-96.059,0,2013,7
43.515,-96.092,0,2019,8
43.515,-96.058,0,2017,9
43.516,-96.071,1,2006,10
43.526,-96.187,0,2013,11
43.526,-96.06,1,2006,12
43.528,-95.846,1,2019,13
43.529,-96.034,1,2019,14
43.529,-96.033,1,2017,15
43.531,-96.332,0,2017,16
43.535,-95.994,0,2017,17
43.538,-95.839,1,2015,18
43.543,-96.313,0,2017,19
43.543,-96.062,1,2007,20
43.543,-96.061,1,2010,21
43.543,-95.848,1,2013,22
43.543,-95.847,1,2008,23
43.543,-95.817,1,2019,24
43.544,-96.341,0,2016,25
43.544,-96.188,1,2006,26
43.544,-96.178,0,2016,27
43.546,-95.811,0,2014,28
43.549,-96.196,1,2017,29
43.554,-96.181,0,2012,30
43.558,-96.185,1,2006,31
43.558,-95.863,1,2013,32
43.558,-95.774,0,2012,33
43.566,-95.759,1,2019,34
43.571,-96.062,0,2018,35
43.572,-95.861,1,2013,36
43.573,-96.064,1,2013,37
43.573,-95.757,0,2017,38
43.574,-96.064,1,2010,39
43.576,-95.758,1,2016,40
43.579,-96.058,1,2017,41
43.583,-95.754,1,2018,42
43.586,-95.754,0,2018,43
43.594,-96.439,1,2017,44
43.594,-96.433,0,2012,45
43.595,-96.19,1,2017,46
43.597,-96.034,0,2019,47
43.601,-96.182,1,2005,48
43.602,-96.444,0,2008,49
43.602,-96.163,1,2019,50
43.603,-96.173,1,2013,51
43.607,-96.157,1,2017,52
43.607,-96.143,1,2004,53
43.61,-96.142,1,2017,54
43.611,-96.014,1,2005,55
43.613,-95.747,1,2004,56
43.615,-96.352,1,2017,57
43.616,-96.372,1,2006,58
43.616,-96.197,1,2010,59
43.616,-95.998,0,2007,60
43.62,-96.432,0,2004,61
43.621,-96.113,1,2005,62
43.623,-95.994,0,2016,63
43.625,-95.986,1,2007,64
43.628,-96.195,1,2008,65
43.631,-96.33,0,2012,66
43.631,-95.867,0,2009,67
