lat,long,occurrence,year,site
43.5,-95.849,1,2018,1
43.512,-96.093,0,2013,2
43.512,-96.092,1,2008,3
43.513,-95.851,1,2006,4
43.514,-96.085,0,2019,5
43.514,-96.059,0,2013,6
43.515,-96.092,0,2019,7
43.516,-96.071,1,2006,8
43.526,-96.187,0,2013,9
43.526,-96.06,1,2006,10
43.528,-95.846,1,2019,11
43.529,-96.034,1,2019,12
43.538,-95.839,1,2015,13
43.543,-96.062,1,2007,14
43.543,-96.061,1,2010,15
43.543,-95.848,1,2013,16
43.543,-95.847,1,2008,17
43.543,-95.817,1,2019,18
43.544,-96.188,1,2006,19
43.546,-95.811,0,2014,20
43.549,-96.196,1,2017,21
43.554,-96.181,0,2012,22
43.558,-96.185,1,2006,23
43.558,-95.863,1,2013,24
43.558,-95.774,0,2012,25
43.566,-95.759,1,2019,26
43.571,-96.062,0,2018,27
43.572,-95.861,1,2013,28
43.573,-96.064,1,2013,29
43.573,-95.757,0,2017,30
43.574,-96.064,1,2010,31
43.576,-95.758,1,2016,32
43.579,-96.058,1,2017,33
43.594,-96.439,1,2017,34
43.594,-96.433,0,2012,35
43.595,-96.19,1,2017,36
43.597,-96.034,0,2019,37
43.601,-96.182,1,2005,38
43.602,-96.444,0,2008,39
43.602,-96.163,1,2019,40
43.603,-96.173,1,2013,41
43.607,-96.157,1,2017,42
43.607,-96.143,1,2004,43
43.61,-96.142,1,2017,44
43.611,-96.014,1,2005,45
43.613,-95.747,1,2004,46
43.616,-96.372,1,2006,47
43.616,-96.197,1,2010,48
43.616,-95.998,0,2007,49
43.62,-96.432,0,2004,50
43.621,-96.113,1,2005,51
43.625,-95.986,1,2007,52
43.628,-96.195,1,2008,53
43.631,-96.33,0,2012,54
43.631,-95.867,0,2009,55
43.638,-96.115,1,2016,56
43.641,-96.112,0,2014,57
43.645,-95.96,1,2016,58
43.645,-95.952,1,2012,59
43.646,-96.199,1,2015,60
43.648,-96.402,0,2008,61
43.649,-96.315,1,2005,62
43.65,-96.197,1,2007,63
43.651,-95.933,0,2019,64
43.654,-95.929,1,2010,65
43.655,-96.191,1,2010,66
43.657,-96.312,0,2010,67
