SampleID,SiteID,Date,Year,State,StreamName,LatutudeWQ,LongitudeWQ,HabitatType,habitat,WaterTemp_C,DOPercent,DO_mgL,Turbidity_NTU,Conductivity_Scm,pH,Topeka_Shiner
18MNBSPPS113,Pipestone,2018,2018,MN,Pipestone_Creek,44.023,-96.329,Lake,lake,19.9,91.5,,113.4,805,,11
18MNBSWLWT111,MO5,2018,2018,MN,Willow_Creek_Tributary,44.129,-96.439,Oxbow,oxbow,18.8,65.3,,-65.1,307.6,,5
18MNBSWLWT112,MO6,2018,2018,MN,Willow_Creek_Tributary,44.127,-96.439,Oxbow,oxbow,18.8,66,,54.7,315,,2
18MNBSWLWT109,MO3,2018,2018,MN,Willow_Creek_Tributary,44.13,-96.445,Oxbow,oxbow,18.9,54.9,,37.6,315.8,,1
18MNBSWLWT108,MO4,2018,2018,MN,Willow_Creek_Tributary,44.129,-96.441,Oxbow,oxbow,20.1,60,,58.9,319.3,,1
18MNBSWLWT107,MO1,2018,2018,MN,Willow_Creek_Tributary,44.132,-96.447,Oxbow,oxbow,20.7,72,,39,327.6,,0
18MNBSWLWT110,MO2,2018,2018,MN,Willow_Creek_Tributary,44.131,-96.445,Oxbow,oxbow,19.3,65,,79.9,327.6,,0
18MNRKLRKR24,RA1,2018,2018,MN,Little_Rock_River,43.575,-95.759,Oxbow,oxbow,23.9,50.7,,104.6,354.9,,0
18MNBSWLWT19,MO2,2018,2018,MN,Willow_Creek_Tributary,44.13,-96.445,Oxbow,oxbow,25.7,109.3,,106.6,356.8,,5
18MNRKPLR49,PC1,2018,2018,MN,Poplar_Creek,43.865,-96.205,Oxbow,oxbow,22,79.5,,114.4,361.4,,5
18MNBSBVR04,TS3,2018,2018,MN,Beaver_Creek,43.74,-96.262,Oxbow,oxbow,23.9,127.8,,91.3,383.2,,27
16MNRKCPPD108,OL3,7/27/2016,2016,MN,Champepedan_Creek,43.728,-96.06,Oxbow,oxbow,28.13,112.1,7.29,37.9,386.4,8.59,0
19MNRKRKRT16,LV1,2019,2019,MN,Rock_River_Tributary,43.656,-96.201,Oxbow,oxbow,29.2,165.5,,3.9,386.7,,0
18MNRKPLR48,PC2,2018,2018,MN,Poplar_Creek,43.867,-96.2,Oxbow,oxbow,22,105.7,,118.3,420.6,,18
18MNBSBVRT02,TS8,2018,2018,MN,Beaver_Creek_Tributary,43.73,-96.292,Oxbow,oxbow,26,101,,76.3,426.8,,21
18MNBSBVRT03,TS9,2018,2018,MN,Beaver_Creek_Tributary,43.73,-96.293,Oxbow,oxbow,26.9,131.4,,67.2,427.1,,21
18MNRKRKRT41,HU1,2018,2018,MN,Rock_River_Tributary,43.767,-96.086,Oxbow,oxbow,26.6,200.1,,63.9,435,,2
17MNBSBVR15,TS1,6/1/2017,2017,MN,Beaver_Creek,43.745,-96.261,Oxbow,oxbow,17.95,122,9.66,69.2,440.1,8.27,21
19MNRKLRKR03,RA1,2019,2019,MN,Little_Rock_River,43.575,-95.759,Oxbow,oxbow,20.2,180,,12.5,445.1,,12
16MNBSBVTR06,TS9,5/16/2016,2016,MN,Beaver_Creek_Tributary,43.73,-96.292,Oxbow,oxbow,19.1,112.5,8.7,42.5,451.1,8.28,10
16MNRKPLR97,PC1,6/29/2016,2016,MN,Poplar_Creek,43.865,-96.205,Oxbow,oxbow,26.68,127.6,8.54,17.1,452.6,8.29,3
19MNBSLBVR13,VD3,2019,2019,MN,Little_Beaver_Creek,43.704,-96.268,Oxbow,oxbow,26.8,522.4,,34.4,458.2,,26
16MNRKPLR94,PC2,6/29/2016,2016,MN,Poplar_Creek,43.867,-96.2,Oxbow,oxbow,24.76,197.8,13.68,17.8,464.3,8.15,0
18MNBSWLW117,GE1,2018,2018,MN,Willow_Creek,44.152,-96.415,Oxbow,oxbow,19.8,56,,92.4,464.7,,21
18MNRKPLRT47,PCT1,2018,2018,MN,Poplar_Creek_Tributary,43.87,-96.205,Oxbow,oxbow,21.7,93.6,,115.3,471,,16
16MNRKRKR80,AR2,6/27/2016,2016,MN,Rock_River,43.705,-96.158,Oxbow,oxbow,25.71,126.8,8.49,27.3,473.8,8.43,26
15MNBSSTRK56,VA4,8/3/2015,2015,MN,Split_Rock_Creek,43.764,-96.446,Oxbow,oxbow,30.8,0,0,582,493.1,8.31,1
17MNRKRKRT36,HU1,6/1/2017,2017,MN,Rock_River_Tributary,43.767,-96.086,Oxbow,oxbow,24.4,122.5,8.62,49.1,501.4,8.84,0
16MNBSSTRT18,BUSP,5/17/2016,2016,MN,Split_Rock_Creek_Tributary,43.845,-96.316,Oxbow,oxbow,17,139.6,11.28,44.8,506.2,8.65,45
17MNRKCPPD66,OL3,5/25/2017,2017,MN,Champepedan_Creek,43.728,-96.059,Oxbow,oxbow,13,168,14.78,14.4,506.9,9.19,10
15MNBSSTRK55,VA3,8/3/2015,2015,MN,Split_Rock_Creek,43.765,-96.444,Oxbow,oxbow,30.42,270.2,20.49,82.3,507.2,7.9,3
16MNRKRKR81,AR3,6/27/2016,2016,MN,Rock_River,43.704,-96.158,Oxbow,oxbow,26.3,147.6,9.89,24,512.9,8.3,16
17MNBSBVR88,TS3(b),7/13/2017,2017,MN,Beaver_CreeK,43.74,-96.262,Oxbow,oxbow,25.53,134.4,9.09,69.9,518.9,8.59,35
17MNRKPLR65,PC2,5/24/2017,2017,MN,Poplar_Creek,43.867,-96.199,Oxbow,oxbow,15.82,160.6,13.27,20.1,520,8.66,0
18MNBSPPS70,LPRW2A,2018,2018,MN,Pipestone_Creek,44.084,-96.296,Oxbow,oxbow,21.3,177.9,,118.9,521,,0
19MNBSSTRK12,BU1,2019,2019,MN,Split_Rock_Creek_Tributary,43.846,-96.317,Oxbow,oxbow,22.3,206.2,,27.4,535,,27
18MNBSWLWT20,MO1,2018,2018,MN,Willow_Creek_Tributary,44.131,-96.447,Oxbow,oxbow,26.5,87.2,,16,545,,0
19MNRKLRKR10,JO2,2019,2019,MN,Little_Rock_River,43.585,-95.754,Oxbow,oxbow,18.4,69.8,,2.5,548,,5
19MNBSLBVR15,VD1,2019,2019,MN,Little_Beaver_Creek,43.707,-96.267,Oxbow,oxbow,26.6,294.9,,13.6,549,,21
17MNBSBVR11,TS3,6/1/2017,2017,MN,Beaver_Creek,43.74,-96.262,Oxbow,oxbow,18.03,127.9,10.1,54.7,551.5,8.38,21
19MNRKRKRT17,RO1,2019,2019,MN,Rock_River_Tributary,43.657,-96.202,Oxbow,oxbow,25.9,285.9,,8.2,557,,0
19MNRKLRKR01,LJ2,2019,2019,MN,Little_Rock_River,43.581,-95.756,Oxbow,oxbow,24,314.5,,6.8,559,,0
15MNRKKNZ01,MA1,6/3/2015,2015,MN,Kanaranzi_Creek,43.645,-95.96,Oxbow,oxbow,21.14,84.1,7.28,.,560.6,6.67,28
