SampleID,Site,source,Date,Year,Time,State,StreamName,Lat,Long,PrimaryCrewMembers,HabitatType,Habitat,GearType,HUC8,Topeka_Shiner,Substrate,BankStability,Depth_m,DepthCategory,Velocity_ms,VelocityCategory,WaterTemp_C,DrainTile,DOPercent,DO_mgL,Nitrate_mgL,Ammonium_mgL,Turbidity_NTU,Chloride_mgL,Conductivity_Scm,pH,SiteNotes
219,52417-1,ISU,24-May-17,2017,,,Trib_to_Rock_River,43.92928683,-96.18498865,,Restored_oxbow,oxbow,,,31,,,,,,,26,,,7.19,,,22.2,,508.7,8.3,
220,52417-2,ISU,24-May-17,2017,,,Trib_to_Rock_River,43.93174708,-96.18571855,,Restored_oxbow,oxbow,,,223,,,,,,,24.36,,,5.79,,,28.3,,534.8,8.3,
218,52417-6,ISU,24-May-17,2017,,,Trib_to_Rock_River,43.86694419,-96.20430149,,Restored_oxbow,oxbow,,,221,,,,,,,25.51,,,6.51,,,25.7,,519.9,8.4,
179,62317-1,ISU,23-Jun-17,2017,,,Little_Rock_River,43.4043491,-95.95025407,,Unrestored_oxbow,oxbow,,,0,,,,,,,23.81,,,4.38,,,17,,578.7,7.9,
180,62317-2,ISU,23-Jun-17,2017,,,Little_Rock_River,43.41230004,-95.94414956,,Unrestored_oxbow,oxbow,,,4,,,,,,,24.05,,,6.17,,,31.9,,548.1,8.4,
177,62317-3,ISU,23-Jun-17,2017,,,Little_Rock_River,43.4471359,-95.90484374,,Unrestored_oxbow,oxbow,,,1,,,,,,,23.07,,,6.26,,,24.3,,540.3,8.2,
178,62417-1,ISU,24-Jun-17,2017,,,Rock_River,43.21672152,-96.27543968,,Unrestored_oxbow,oxbow,,,0,,,,,,,23.48,,,4.4,,,28.1,,498.3,7.9,
167,70517-1,ISU,5-Jul-17,2017,,,Beaver_Creek,43.73190514,-96.27028428,,Restored_oxbow,oxbow,,,732,,,,,,,24.84,,,7.21,,,38.1,,644,8.37,
168,70517-2,ISU,5-Jul-17,2017,,,Beaver_Creek,43.7322726,-96.28927631,,Restored_oxbow,oxbow,,,2,,,,,,,28.13,,,10.6,,,29.7,,658,8.35,
169,70617-1,ISU,6-Jul-17,2017,,,Mound_Creek,43.71348336,-96.17433383,,Restored_oxbow,oxbow,,,29,,,,,,,23.2,,,3.64,,,17.9,,859,8.7,
