Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner,Count,2004,2007,2008,2009,2010
1_1,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.052,-96.157,0,,,,,,
1_2,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.052,-96.155,0,,,,,,
1_3,Pipestone,2004,107,44,20_29,Tributary_Rock_River,off_channel,off_channel_pool,"silt, sand",44.052,-96.153,1,,,,,,
2_1,Pipestone,2004,105,45,31_32,Tributary_Poplar_Creek,in_channel,off_channel_pool,muck,43.859,-96.265,1,,,,,,
3_1,Rock,2004,103,45,30,Beaver_Creek,in_channel,pool,sand,43.695,-96.286,1,,,,,,
4_1,Rock,2004,103,44,20_21,Champepadan_Creek,in_channel,pool,"silt, mud",43.709,-96.133,1,,,,,,
5_1,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.054,0,,,,,,
5_2,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.729,-96.056,0,,,,,,
5_3,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.729,-96.057,0,,,,,,
5_4,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.729,-96.057,0,,,,,,
5_5,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.058,0,,,,,,
5_6,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.729,-96.059,0,,,,,,
5_7,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.060,0,,,,,,
5_8,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.060,0,,,,,,
5_9,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.061,0,,,,,,
5_10,Rock,2004,103,44,13,Champepadan_Creek,in_channel,run,topsoil,43.728,-96.063,1,,,,,,
6_1,Nobles,2004,103,43,21_28,Elk_Creek,off_channel,pool,"muck, algae",43.703,-95.995,0,,,,,,
6_2,Nobles,2004,103,43,21_28,Elk_Creek,off_channel,pool,"muck, algae",43.703,-96.001,1,,,,,,
7_1,Nobles,2004,102,42,6_7,Kanaranzi_Creek,off_channel,oxbow,"sand, mud",43.659,-95.918,1,,,,,,
8_1,Nobles,2004,102,42,8,East_Branch_Creek,in_channel,pool,"silt, sand",43.659,-95.905,1,,,,,,
9_1,Rock,2004,102,22,29,Elk_Creek,off_channel,pool,"silt, sand",43.607,-96.143,1,,,,,,
10_1,Nobles,2004,101,43,30,Norwegian_Creek,in_channel,pool,"gravel, sand",43.529,-96.034,1,,,,,,
11_1,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.309,-96.382,0,,,,,,
11_2,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.309,-96.381,0,,,,,,
11_3,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.309,-96.381,0,,,,,,
11_4,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.309,-96.380,0,,,,,,
11_5,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.307,-96.380,0,,,,,,
11_6,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.307,-96.380,0,,,,,,
11_7,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.306,-96.381,0,,,,,,
11_8,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.305,-96.379,0,,,,,,
11_9,Lincoln,2004,110,46,27,Tributary_Medary_creek,off_channel,pool,silt,44.304,-96.379,0,,,,,,
11_10,Lincoln,2004,110,46,27,Tributary_Medary_creek,in_channel,flow,"clay, silt",44.303,-96.381,0,,,,,,
12_1,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.253,-96.414,0,,,,,,
12_2,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.253,-96.413,0,,,,,,
12_3,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.253,-96.409,0,,,,,,
12_4,Lincoln,2004,109,46,17,Medary_Creek,in_channel,flow,"boulder, sand, silt",44.252,-96.409,1,,,,,,
13_1,Pipestone,2004,108,46,11,Flandreau_Creek,off_channel,pool,"silt, clay",44.179,-96.335,0,,,,,,
13_2,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.180,-96.336,0,,,,,,
13_3,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.179,-96.337,0,,,,,,
13_4,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.179736,-96.338519,0,,,,,,
13_5,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.176877,-96.341136,0,,,,,,
13_6,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175982,-96.340794,0,,,,,,
13_7,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175914,-96.340287,0,,,,,,
13_8,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175754,-96.339775,0,,,,,,
13_9,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.175174,-96.340164,0,,,,,,
13_10,Pipestone,2004,108,46,11,Flandreau_Creek,in_channel,flow,"silt, clay",44.174892,-96.339489,1,,,,,,
14_1,Pipestone,2004,108,46,30,Willow_creek,in_channel,pool,"boulder, sand, silt",44.133498,-96.424446,1,,,,,,
15_1,Pipestone,2004,107,45,9,Pipestone_Creek,in_channel,pool,"sand, silt",44.095003,-96.257301,1,,,,,,
16_1,Pipestone,2004,107,46,33,Pipestone_Creek,in_channel,pool,"sand, silt",44.023533,-96.368089,1,,,,,,
17_1,Pipestone,2004,105,44,32,Poplar_Creek,in_channel,pool,"silt, sand",43.848995,-96.145090,1,,,,,,
18_1,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.827036,-96.134230,0,,,,,,
18_2,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.827476,-96.135218,0,,,,,,
18_3,Rock,2004,104,44,8_9,Rock_River,in_channel,pool,"silt, mud",43.826642,-96.134769,1,,,,,,
19_1,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.619974,-96.432167,0,,,,,,
19_2,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.620099,-96.431444,0,,,,,,
19_3,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.620099,-96.431444,0,,,,,,
19_4,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.619792,-96.430109,0,,,,,,
19_5,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.622105,-96.426895,0,,,,,,
19_6,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.622362,-96.427355,0,,,,,,
19_7,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.623323,-96.425667,0,,,,,,
19_8,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.623833,-96.425813,0,,,,,,
19_9,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.624122,-96.427236,0,,,,,,
19_10,Rock,2004,102,47,24,Springwater_Creek,in_channel,flow,"clay, muck",43.624424,-96.427228,0,,,,,,
20_1,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.613173,-95.746641,0,,,,,,
20_2,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.613046,-95.746814,0,,,,,,
20_3,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.612228,-95.747547,0,,,,,,
20_4,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.611355,-95.747559,0,,,,,,
20_5,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.610243,-95.745456,0,,,,,,
20_6,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.610443,-95.743793,0,,,,,,
20_7,Nobles,2004,102,41,27,Little_Rock_River,in_channel,flow,"clay, silt",43.607796,-95.740217,0,,,,,,
20_8,Nobles,2004,102,41,27,Little_Rock_River,in_channel,pool,"clay, silt",43.609161,-95.738969,1,,,,,,
21_1,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.159665,-96.395768,0,,,,,,
21_2,Pipestone,2005,108,46,17,Willow_creek,off_channel,pool,muck,44.158540,-96.396082,0,,,,,,
21_3,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.157890,-96.398001,0,,,,,,
21_4,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.157972,-96.398448,0,,,,,,
21_5,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.158915,-96.401929,0,,,,,,
21_6,Pipestone,2005,108,46,17,Willow_creek,off_channel,pool,muck,44.159027,-96.403905,0,,,,,,
21_7,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.159176,-96.404421,0,,,,,,
21_8,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.159068,-96.404903,0,,,,,,
21_9,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.159325,-96.405204,0,,,,,,
21_10,Pipestone,2005,108,46,17,Willow_creek,in_channel,flow,muck,44.159221,-96.405969,0,,,,,,
22_1,Pipestone,2005,107,46,21_22,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, sand",44.061007,-96.368207,1,,,,,,
23_1,Pipestone,2005,107,46,20_21_28_29,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, sand",44.049747,-96.388036,0,,,,,,
23_2,Pipestone,2005,107,46,20_21_28_29,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, sand",44.052702,-96.387834,1,,,,,,
24_1,Pipestone,2005,106,46,2,Pipestone_Creek,in_channel,pool,"sand, gravel, cobble",44.022870,-96.329314,1,,,,,,
25_1,Pipestone,2005,107,44,19,Rock_River,off_channel,flow,"silt, sand",44.059789,-96.171732,0,,,,,,
25_2,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.061612,-96.172312,0,,,,,,
25_3,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.061422,-96.172643,0,,,,,,
25_4,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.060753,-96.172072,0,,,,,,
25_5,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.060591,-96.171750,0,,,,,,
25_6,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.059298,-96.173070,0,,,,,,
25_7,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.058570,-96.171785,0,,,,,,
25_8,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.057305,-96.171005,0,,,,,,
25_9,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.057005,-96.171632,0,,,,,,
25_10,Pipestone,2005,107,44,19,Rock_River,in_channel,flow,"silt, sand",44.056626,-96.170837,0,,,,,,
26_1,Pipestone,2005,107,44,27_34,East_Branch_Rock_River,in_channel,pool,muck,44.036957,-96.116168,1,,,,,,
27_1,Pipestone,2005,106,44,5,East_Branch_Rock_River,in_channel,pool,"sand, gravel",44.015358,-96.150290,1,,,,,,
28_1,Pipestone,2005,106,44,8_17_18,East_Branch_Rock_River,in_channel,backwater,"sand, gravel",43.991252,-96.162592,0,,,,,,
28_2,Pipestone,2005,106,44,8_17_18,East_Branch_Rock_River,in_channel,backwater,"sand, gravel",43.991437,-96.162608,0,,,,,,
28_3,Pipestone,2005,106,44,8_17_18,East_Branch_Rock_River,in_channel,backwater,"sand, gravel",43.991555,-96.162630,1,,,,,,
29_1,Rock,2005,104,47,1,Split_Rock_Creek,in_channel,pool,"Sand, silt, gravel",43.834516,-96.415501,1,,,,,,
30_1,Pipestone,2005,105,44,32,Poplar_Creek,in_channel,pool,"gravel, sand",43.851198,-96.157727,1,,,,,,
31_1,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.806795,-95.972796,0,,,,,,
31_2,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.806954,-95.972531,0,,,,,,
31_3,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.806917,-95.971556,0,,,,,,
31_4,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.806940,-95.971345,0,,,,,,
31_5,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807013,-95.970351,0,,,,,,
31_6,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807010,-95.969670,0,,,,,,
31_7,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807156,-95.967359,0,,,,,,
31_8,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807126,-95.966981,0,,,,,,
31_9,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807489,-95.965659,0,,,,,,
31_10,Nobles,2005,104,43,14,Champepadan_Creek,in_channel,flow,"sand, silt",43.807594,-95.965195,0,,,,,,
