
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
alpha[1]  1.53684629  0.62303673  4.707288e-01  1.5108200000  2.8940702 1.00  1500
alpha[2]  0.99431681  0.50060101  1.921992e-01  0.9536160000  2.0897240 1.00  1348
alpha[3] -0.53585374  0.50186319 -1.516481e+00 -0.5189610000  0.4336608 1.00  1432
alpha[4]  0.65115861  0.40273287 -1.991461e-01  0.6704155000  1.4124477 1.00  1500
alpha[5]  0.69211952  0.49664139 -2.446165e-01  0.6829410000  1.7235827 1.00  1426
alpha[6]  0.67527630  0.35311529 -2.398906e-02  0.6766280000  1.3471282 1.01  1500
alpha[7] -0.43873389  0.45459297 -1.320902e+00 -0.4503465000  0.4710956 1.00  1436
beta[1]  -0.40620683  0.27794760 -9.551783e-01 -0.4126040000  0.1636296 1.00  1319
beta[2]  -0.14264625  0.19272065 -5.131313e-01 -0.1448025000  0.2387520 1.00  1212
beta[3]   0.12384287  0.13788087 -1.389830e-01  0.1238175000  0.4057773 1.00  1528
beta[4]  -0.80207708  0.25373057 -1.317681e+00 -0.7924600000 -0.3027363 1.00  1413
beta[5]   0.07166034  0.06207097 -3.446693e-02  0.0645366500  0.2088341 1.01  1500
mu_alpha  0.53332888  0.52276641 -4.598718e-01  0.5190495000  1.5754680 1.00  1500
sd_alpha  1.10497661  0.61434561  3.826061e-01  0.9812430000  2.5586705 1.01  1393
s[1]      3.39301564  3.88531032  9.946336e-01  2.5864100000 10.2478200 1.12  1318
s[2]      5.14338641  5.95821557  1.958059e+00  4.0168050000 14.5281750 1.13  1342
s[3]      8.96742748  9.31482555  4.249582e+00  7.0516100000 23.8500075 1.10  1296
s[4]     10.89914197 12.49226321  5.261393e+00  8.5538450000 28.1542175 1.13  1285
s[5]      5.25049969  9.98517340  1.448075e+00  3.5195700000 17.9128275 1.14  1290
s[6]     10.95967013 10.93961764  5.129105e+00  9.1431250000 25.3575000 1.14  1304
s[7]     10.16649257 12.39639731  3.781605e+00  7.8748400000 27.6287500 1.13  1297
s[8]     12.20229153 11.79427895  6.734599e+00  9.9871300000 27.9917950 1.14  1292
s[9]      4.93967087 13.86927680  1.891568e+00  3.3242800000 14.3550800 1.21  1237
s[10]     4.31670739 14.92148127  1.660074e+00  2.8292500000 12.0926250 1.23  1226
s[11]     0.55276253  0.29231051  1.952744e-01  0.5046965000  1.1741025 1.01  1563
s[12]     1.26677792  0.70434364  5.774823e-01  1.0664550000  3.1046152 1.01  1427
s[13]     2.06110808  1.63938087  6.825780e-01  1.5205650000  6.2280380 1.00  1305
s[14]     3.13791994  2.35774865  1.353775e+00  2.4450500000  8.7279250 1.00  1291
s[15]     2.31805098  2.08001432  1.894550e+00  2.1986300000  2.9727445 1.27  1329
s[16]     4.48296803  3.35019478  2.592490e+00  3.8271100000  9.5936597 1.16  1380
s[17]     8.88052236  8.91993437  3.361917e+00  7.0494900000 23.7706700 1.09  1324
s[18]     8.95965125  9.30708578  4.243889e+00  7.0292650000 23.8313525 1.10  1296
s[19]     8.97502973 12.90768977  3.429584e+00  6.5887900000 26.5003550 1.14  1281
s[20]     5.41643799  9.53285821  1.961905e+00  3.7451100000 17.7528575 1.14  1273
s[21]     3.58293469  1.68544616  2.098919e+00  3.1530700000  7.7464665 1.01  1405
s[22]     1.65068865  2.83280999  3.147762e-01  1.1893150000  5.4265052 1.20  1430
s[23]     3.11665246  3.12376907  1.261443e+00  2.5673550000  7.8904705 1.17  1414
s[24]     2.78671335  2.86911787  1.451582e+00  2.3082800000  6.6124362 1.20  1419
s[25]     3.47341310  3.68116170  1.158978e+00  2.6837600000  9.7636430 1.13  1331
s[26]     3.80601323  3.72090477  1.544270e+00  3.0260800000 10.1120025 1.13  1323
s[27]     3.08601287  4.30210993  7.992108e-01  2.2156350000  9.9340615 1.13  1271
s[28]     1.83388519  4.35131038  2.870221e-01  0.9862475000  8.2535900 1.15  1290
s[29]     8.94038529  7.70621665  4.312396e+00  7.4199300000 21.5529475 1.11  1335
s[30]     8.51779453  8.53514191  3.195102e+00  6.7739800000 23.2058450 1.09  1334
s[31]     7.59399967  8.52414156  2.335558e+00  5.7875250000 22.4562575 1.09  1338
s[32]     8.86783147  9.42754657  4.051891e+00  6.9748150000 23.8048850 1.10  1291
s[33]     8.19496195 12.95988804  2.250000e+00  5.7712000000 26.0993050 1.13  1286
