
	WATERSHED 1

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]


               mean          sd         2.5%        50%     97.5% Rhat n.eff
alpha[1]  1.3404708   5.6456034  0.170276250  0.5482970  6.861098 1.17  1500
alpha[2] 20.1201162 492.3918725  0.175501400  1.2914950 35.053167 1.28  1442
beta[1]  -0.6531417   2.5005769 -5.372534750 -0.6838980  4.558440 1.00  1457
beta[2]   0.6466530   2.0759068 -3.324529750  0.6480670  4.619920 1.00  1376
beta[3]   1.0382285   1.3043108 -1.562747500  1.0257600  3.634740 1.00  1500
beta[4]   3.5870927   1.8598261  0.432103375  3.4356250  7.688349 1.00  1668
beta[5]  -0.2709933   2.1643885 -4.360185750 -0.2808500  3.986316 1.00  1381
beta[6]   2.0418419   2.2887620 -2.291943750  1.7735700  7.108785 1.00  1500
s[1]      1.0100763   0.7644123  0.047882387  0.8250080  3.034382 1.00  1500
s[2]      2.0262230   1.0008885  0.419437975  1.9240000  4.212759 1.00  1547
s[3]      1.1618825   0.9650723  0.013452798  0.9486420  3.403559 1.00  1619
s[4]      1.5359944   0.9438158  0.740362900  1.0626300  4.163716 1.00  1321
s[5]      1.5359944   0.9438158  0.740362900  1.0626300  4.163716 1.00  1321
s[6]      2.0455729   0.9985588  0.283317800  2.0026550  4.060955 1.00  1429
s[7]      1.9540081   1.0128472  0.413431725  1.7678100  4.397040 1.00  1604
s[8]      1.7101881   1.1105222  0.196880150  1.4608550  4.340082 1.00  1407
s[9]      1.0710895   0.7742479  0.003634856  0.8856545  3.014303 1.00  1500
s[10]     1.3783671   0.8801174  0.122617575  1.2005900  3.510074 1.00  1429
s[11]     1.3788783   0.9025212  0.160044725  1.1781550  3.545844 1.00  1556
s[12]     1.3545933   1.0890878  0.006841002  0.9515725  4.114234 1.00  1288
