
	WATERSHED 3

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

               mean          sd          2.5%         50%      97.5% Rhat n.eff
alpha[1]  6.65460900 120.0107645  0.1727352000  0.68625600 18.2737325 1.28  1500
alpha[2]  5.74339550 133.7441201  0.1422497000  0.40755050  8.8030302 1.14  1500
beta[1]  -1.77369251   1.4642385 -4.8977355000 -1.62580000  0.7484153 1.00  1421
beta[2]   0.49470702   1.4474164 -2.4566170000  0.49265800  3.2801535 1.00  1500
beta[3]  -0.06143734   0.5501166 -1.1592802500 -0.06808495  0.9978934 1.00  1500
beta[4]   0.29418467   0.5001687 -0.6580451500  0.28158750  1.3294672 1.00  1425
beta[5]  -1.17299332   1.7830720 -4.9135567500 -1.06240500  2.1277862 1.00  1500
beta[6]   0.17238121   0.3225358 -0.4607185750  0.15516800  0.8844697 1.00  1500
s[1]      4.41475342   2.4384635  0.3748206750  4.39606000  9.7561260 1.00  1500
s[2]      4.16114240   2.4226829  0.5668291500  3.89035000  9.5226135 1.00  1569
s[3]      5.11535004   2.2212024  0.8303674000  5.03660500  9.9976537 1.00  1500
s[4]      4.69630013   2.3060396  0.9918519750  4.47334500  9.8438970 1.00  1568
s[5]      5.02937423   2.2753901  0.5402146250  5.01533000  9.9187347 1.00  1500
s[6]      5.46434071   2.9314038  0.5028337750  5.31336000 11.3428625 1.00  1500
s[7]      5.98283668   2.8366630  0.6267674750  5.85268000 11.7638575 1.00  1595
s[8]      5.55351349   2.9702857  0.4900924500  5.34589000 11.5709875 1.00  1500
s[9]      2.07928217   1.7814533  0.0470112150  1.52569500  6.5391470 1.00  1500
s[10]     5.25343730   2.0670894  1.7495157500  4.99204000 10.0774750 1.00  1500
s[11]     6.46876362   2.7855351  1.4795087500  6.40310000 12.2916775 1.00  1500
s[12]     6.01875338   2.9860917  0.4806245250  5.98066500 12.0387325 1.00  1500
s[13]     6.55000809   2.5145687  2.4543432500  6.30835500 12.0908250 1.00  1581
s[14]     4.24776994   2.0353427  1.9086690000  3.67540000  9.1808327 1.00  1500
s[15]     6.48427384   2.7655466  1.6491762500  6.41408500 12.3196950 1.00  1500
s[16]     5.68081869   2.8378928  1.1550310000  5.48908500 11.4602100 1.00  1500
s[17]     5.68081869   2.8378928  1.1550310000  5.48908500 11.4602100 1.00  1500
s[18]     0.86973245   1.3113906  0.0000000000  0.19652000  4.6016397 1.00  1500
s[19]     6.53804845   2.5154281  2.3889175000  6.26061500 12.0283575 1.00  1589
s[20]     3.48227833   2.4492643  0.0513284075  2.99450500  9.1051385 1.00  1570
s[21]     5.25343730   2.0670894  1.7495157500  4.99204000 10.0774750 1.00  1500
s[22]     4.45057977   2.4250488  0.4818618750  4.38797500  9.7678430 1.00  1500
s[23]     5.67548355   2.8405017  1.1891447500  5.45633500 11.4822175 1.00  1500
s[24]     1.82401915   1.6998126  0.0001051267  1.36379000  6.0033715 1.00  1500
s[25]     3.88719297   2.5417919  0.0208935925  3.72153000  9.5743660 1.00  1500
s[26]     3.22699909   2.4768469  0.0352533275  2.75849500  8.7977557 1.00  1500
s[27]     6.36087197   2.8272795  1.3698230000  6.28243500 12.3197100 1.00  1568
s[28]     4.24776994   2.0353427  1.9086690000  3.67540000  9.1808327 1.00  1500
s[29]     6.45172089   2.5928676  1.7867545000  6.23039000 12.1326925 1.00  1571
s[30]     4.21993403   2.0668146  1.6791305000  3.68642000  9.1876280 1.00  1500
s[31]     4.69374471   2.3931143  0.2159045250  4.75936500  9.7883660 1.00  1500
s[32]     6.53804845   2.5154281  2.3889175000  6.26061500 12.0283575 1.00  1589
