
	WATERSHED 4

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

              mean        sd          2.5%          50%       97.5% Rhat n.eff
alpha[1]  2.0038005 7.3269130  1.971620e-01  0.737515000  9.48679500 1.17  1334
alpha[2]  1.5046959 6.0446187  1.442839e-01  0.550155500  7.58839450 1.07  1414
beta[1]   3.3903028 1.1599728  1.373636e+00  3.320585000  5.76280900 1.00  1420
beta[2]  -1.6491441 0.9006136 -3.518604e+00 -1.622295000  0.06200771 1.00  1209
beta[3]  -2.0372049 0.9205679 -3.875735e+00 -2.021805000 -0.30447510 1.00  1174
beta[4]   0.8776525 0.7446914 -3.912123e-01  0.803909500  2.49325125 1.00  1425
beta[5]  -0.1497902 0.4912001 -1.209300e+00 -0.128851000  0.74084822 1.00  2162
beta[6]  -0.4645203 0.3215142 -1.182333e+00 -0.440500500  0.08036432 1.00  1500
s[1]      2.6158973 0.6943530  1.682444e+00  2.517530000  4.35834450 1.01  1476
s[2]      0.1278621 0.3624722  0.000000e+00  0.007495745  1.03116075 1.02  1500
s[3]      2.3086907 0.9272668  3.853733e-01  2.323630000  4.31563250 1.00  1564
s[4]      2.6158973 0.6943530  1.682444e+00  2.517530000  4.35834450 1.01  1476
s[5]      2.0317786 0.9821444  9.821323e-02  2.126320000  3.96862675 1.00  1500
s[6]      2.9100603 2.0350910  1.125560e-01  2.562770000  7.74774350 1.00  1518
s[7]      1.0967277 1.1985656  8.837086e-04  0.730310000  4.30284150 1.01  1435
s[8]      2.8553502 1.5245744  1.090971e+00  2.453825000  6.77722325 1.00  1474
s[9]      2.8553502 1.5245744  1.090971e+00  2.453825000  6.77722325 1.00  1474
s[10]     2.0285020 1.6224025  6.301476e-02  1.663850000  6.22636525 1.00  1478
s[11]     4.3691352 2.1599427  8.094645e-01  4.170265000  9.08442100 1.00  1336
s[12]     4.4279978 2.2792335  6.112034e-01  4.253320000  9.20352125 1.00  1339
s[13]     5.1928106 2.1286382  1.819084e+00  4.962360000  9.79773175 1.00  1437
s[14]     3.4202198 2.1177989  3.342983e-01  3.122875000  8.27264375 1.00  1463
s[15]     3.8411489 2.1757516  4.698306e-01  3.617030000  8.67667850 1.00  1463
s[16]     5.1928106 2.1286382  1.819084e+00  4.962360000  9.79773175 1.00  1437
s[17]     5.1928106 2.1286382  1.819084e+00  4.962360000  9.79773175 1.00  1437
s[18]     3.9246463 1.8261570  1.283338e+00  3.585660000  8.41399800 1.00  1330
s[19]     3.9246463 1.8261570  1.283338e+00  3.585660000  8.41399800 1.00  1330
s[20]     5.1857049 2.0792334  1.881445e+00  4.954725000  9.63771125 1.00  1359
s[21]     5.1857049 2.0792334  1.881445e+00  4.954725000  9.63771125 1.00  1359
s[22]     5.0915649 2.1085281  1.626451e+00  4.882020000  9.60863875 1.00  1353
s[23]     5.0915649 2.1085281  1.626451e+00  4.882020000  9.60863875 1.00  1353
s[24]     2.7711723 2.2599652  4.402504e-02  2.235515000  8.07152025 1.00  1355
