
	WATERSHED 5

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

              mean         sd         2.5%        50%       97.5% Rhat n.eff
alpha[1]  3.0822780 42.3176309  0.169046650  0.6062805  7.53465450 1.26  1303
alpha[2]  1.9036476  8.1114470  0.152963925  0.5430860 10.61142500 1.19  1500
beta[1]   1.7042472  1.0828919 -0.229899150  1.6381600  4.04033500 1.00  1575
beta[2]   0.7644539  0.8895402 -1.019045250  0.7646565  2.45658275 1.00  1500
beta[3]   0.8761497  1.3174813 -1.594222500  0.8546735  3.55875450 1.00  1500
beta[4]   0.7931104  0.6395768 -0.347337400  0.7332125  2.16583875 1.00  1588
beta[5]  -1.4332491  1.5272256 -4.487031250 -1.3835100  1.30180100 1.00  1420
beta[6]  -0.3504444  0.2635466 -0.964483550 -0.3241025  0.08627895 1.00  1765
s[1]      3.9278569  2.5721858  0.317801925  3.4764550 10.15120000 1.00  1385
s[2]      1.3294594  0.9408865  0.024125295  1.2325800  3.72462075 1.00  1532
s[3]      1.4715485  1.3509698  0.035259525  1.0813300  5.53351000 1.01  1500
s[4]      2.9791671  1.6417876  1.045650000  2.4171300  7.33145400 1.00  1500
s[5]      2.6955526  2.0638258  0.108438275  2.1074350  7.89554875 1.00  1579
s[6]      1.7675567  0.9380327  0.409251450  1.5757350  4.35384700 1.00  1434
s[7]      5.4607284  2.7956354  0.565682450  5.4157150 11.30152500 1.00  1374
s[8]      1.3910857  1.0145396  0.011419566  1.2349050  4.14333800 1.00  1445
s[9]      3.5880877  2.3595378  0.671703400  3.0462350  9.56783500 1.00  1500
s[10]     1.7260432  0.9573481  0.330116275  1.5380100  4.30464225 1.00  1556
s[11]     1.7260432  0.9573481  0.330116275  1.5380100  4.30464225 1.00  1556
s[12]     6.2200911  2.6608582  1.416468000  6.1735600 11.75020750 1.00  1361
s[13]     6.4661338  2.5306745  2.070786750  6.4009500 11.81029750 1.00  1364
s[14]     1.5414967  1.4396664  0.046272875  1.1176400  5.88555400 1.01  1500
s[15]     1.5414967  1.4396664  0.046272875  1.1176400  5.88555400 1.01  1500
s[16]     6.4652850  2.5319885  2.082146250  6.4018900 11.81004500 1.00  1364
s[17]     7.4052508  2.2764191  3.246685000  7.2065700 12.06181000 1.00  1535
s[18]     1.8435290  0.8414091  0.360790225  1.7749500  4.06325300 1.00  1361
s[19]     1.0714844  1.1396835  0.002355024  0.7211195  4.48017325 1.00  1500
s[20]     6.6443367  2.6709273  1.099484000  6.6164900 11.91673250 1.00  1378
s[21]     7.4052508  2.2764191  3.246685000  7.2065700 12.06181000 1.00  1535
s[22]     7.4082356  2.2714850  3.419945750  7.2210300 12.06150500 1.00  1565
s[23]     7.4082356  2.2714850  3.419945750  7.2210300 12.06150500 1.00  1565
s[24]     2.7907535  1.7299162  0.375529900  2.3022200  7.24520750 1.00  1500
s[25]     6.7978640  2.5950249  1.948878250  6.7593200 11.80946250 1.00  1663
s[26]     3.3915566  2.3795942  0.187806250  2.8831300  9.35604825 1.00  1500
s[27]     2.9580675  1.6469273  0.799088825  2.3815300  7.31178900 1.00  1578
s[28]     1.9013117  0.8448907  0.510125550  1.8164350  4.13547050 1.00  1500
s[29]     3.0470315  2.3862008  0.067613873  2.4013900  8.75589350 1.00  1573
s[30]     6.6333748  2.6757347  1.475083000  6.6288450 11.75227750 1.00  1664
s[31]     5.7555616  2.7283806  1.026560000  5.7015900 11.49083000 1.00  1369
s[32]     1.6295940  0.9751585  0.002497714  1.6071500  3.98864975 1.00  1440
