
	WATERSHED 6

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

                mean         sd          2.5%          50%        97.5% Rhat n.eff
alpha[1]  5.557639309 31.8520862  2.196667e-01  1.455375000 26.932195000 1.21  1473
alpha[2]  0.984463383  4.5162926  1.304816e-01  0.343004500  4.530589750 1.07  1500
beta[1]   2.076684570  0.7191702  8.358650e-01  2.009975000  3.687844500 1.00  1429
beta[2]  -0.641804678  0.3445024 -1.309735e+00 -0.644747500 -0.004299618 1.00  1500
beta[3]  -0.260426092  0.3056488 -8.850333e-01 -0.250876500  0.290368125 1.00  1500
beta[4]   0.000653783  0.2247381 -4.367787e-01  0.002781630  0.460123100 1.00  1788
beta[5]  -0.734463246  0.2970745 -1.307778e+00 -0.738811500 -0.133478250 1.00  1500
beta[6]  -0.208960132  0.1457865 -5.682036e-01 -0.188897500  0.015977232 1.00  1439
s[1]      2.595750047  1.2944963  2.042754e-01  2.547185000  5.241104000 1.00  1330
s[2]      6.644662560  3.7445480  9.771326e-01  6.363210000 14.824225000 1.00  1339
s[3]      5.208320200  3.5384877  1.062070e-01  4.777945000 13.419462500 1.00  1348
s[4]      5.950707009  3.3135933  1.267964e+00  5.494785000 13.880355000 1.00  1222
s[5]      1.793990629  1.3812952  9.909725e-02  1.464290000  4.983119750 1.00  1405
s[6]      2.496124287  1.1447057  6.693119e-01  2.247235000  5.212798000 1.00  1336
s[7]      1.809023947  1.4469407  4.485828e-03  1.613910000  4.984573750 1.00  1341
s[8]      1.730190818  1.6756581  8.883730e-03  1.348280000  6.013385500 1.00  1259
s[9]      5.940099750  3.5228102  6.657380e-01  5.505820000 14.156622500 1.00  1346
s[10]     4.125229560  2.3370638  1.210304e+00  3.604980000  9.991984000 1.00  1388
s[11]     5.845545897  3.7415716  3.080829e-01  5.431180000 14.431482500 1.00  1344
s[12]     4.828540010  3.1290302  7.513170e-01  4.260405000 12.437100000 1.00  1395
s[13]     5.935649510  3.7689740  3.424014e-01  5.473235000 14.628695000 1.00  1336
s[14]     7.241955400  3.3691540  1.741576e+00  7.004170000 14.718807500 1.00  1393
s[15]     7.181614283  3.6645065  1.488155e+00  6.919415000 15.248977500 1.00  1340
s[16]     6.963435013  3.4741430  2.092354e+00  6.508995000 15.100350000 1.00  1340
s[17]     6.871869460  3.5127762  1.894554e+00  6.412325000 15.002512500 1.00  1346
s[18]     4.594883202  3.1740475  4.787847e-01  3.995535000 12.240327500 1.00  1395
s[19]     8.064515927  3.2773686  2.411644e+00  7.990380000 15.145107500 1.00  1341
s[20]     6.508039581  3.7896470  7.238343e-01  6.266345000 14.769940000 1.00  1337
s[21]     8.053789426  3.3958706  1.758544e+00  8.117885000 15.056395000 1.00  1346
s[22]     8.074365560  3.2722495  2.419904e+00  7.991965000 15.145732500 1.00  1342
s[23]     6.349823237  3.3474543  1.078184e+00  5.931110000 14.095387500 1.00  1394
s[24]     5.395548903  3.6624945  2.135904e-01  4.908580000 14.045935000 1.00  1280
s[25]     5.904350317  3.7498046  4.317021e-01  5.459885000 14.520335000 1.00  1336
s[26]     2.049979806  1.8314370  2.679124e-02  1.648235000  6.842290500 1.00  1254
s[27]     0.225939813  0.5768175  0.000000e+00  0.001317945  1.874884250 1.01  1381
s[28]     7.241955400  3.3691540  1.741576e+00  7.004170000 14.718807500 1.00  1393
s[29]     6.119265165  3.2703207  1.430661e+00  5.647340000 13.824632500 1.00  1395
s[30]     6.963435013  3.4741430  2.092354e+00  6.508995000 15.100350000 1.00  1340
s[31]     6.963435013  3.4741430  2.092354e+00  6.508995000 15.100350000 1.00  1340
s[32]     6.963435013  3.4741430  2.092354e+00  6.508995000 15.100350000 1.00  1340
s[33]     5.733775447  3.7086232  2.650576e-01  5.324230000 14.262690000 1.00  1345
s[34]     5.733775447  3.7086232  2.650576e-01  5.324230000 14.262690000 1.00  1345
