
	WATERSHED 7

Y[i] ~ dbern(theta[i])
      logit(theta[i]) <- beta[1] + beta[2] * Agr[i] + beta[3] * Elv[i] + beta[4] * Area[i] + beta[5] * Slop[i] +
        beta[6] * s[i]

	u[i,j] <- -alpha[1] * U[Segment_id[i], j]
        d[i,j] <- -alpha[2] * D[Segment_id[i], j]

              mean         sd        2.5%        50%      97.5% Rhat n.eff
alpha[1]  2.7208766 16.8510702  0.10213833  0.3747080 15.9380750 1.18  1431
alpha[2]  1.3493694  6.9484587  0.16346880  0.4985765  6.5144572 1.21  1500
beta[1]  -1.2333482  1.2097009 -4.22012150 -1.0560100  0.7259519 1.00  1500
beta[2]  -1.2954397  0.7484439 -2.83046750 -1.2611300  0.1159553 1.00  1569
beta[3]  -0.7353869  0.5836927 -1.98005925 -0.7204645  0.3855029 1.00  1733
beta[4]  -0.5306107  0.6721969 -1.86098275 -0.5138045  0.7572095 1.00  1610
beta[5]   0.3209985  0.5528302 -0.61645890  0.2687440  1.5473637 1.00  1728
beta[6]   0.2785434  0.2203071 -0.12910417  0.2685170  0.7544738 1.00  1599
s[1]      7.3104026  2.9915168  2.01318000  7.0704900 13.5138825 1.00  1288
s[2]      8.0309529  3.0007873  3.48924500  7.8178750 14.2218600 1.00  1670
s[3]      7.3104026  2.9915168  2.01318000  7.0704900 13.5138825 1.00  1288
s[4]      1.3616354  1.7975420  0.00000000  0.4650110  6.0890002 1.01  1410
s[5]      3.0889687  2.7486779  0.01554215  2.2714900  9.3421557 1.01  1611
s[6]      4.5080289  3.1564837  0.41074137  3.7143350 11.5278150 1.00  1567
s[7]      6.8503378  3.7644682  0.21963025  6.9014100 13.8736025 1.00  1568
s[8]      6.2550774  2.8958513  1.51262575  5.9425550 12.5413075 1.00  1337
s[9]      4.5853062  3.1166985  0.67681408  3.7417300 11.5722700 1.00  1626
s[10]     6.2550774  2.8958513  1.51262575  5.9425550 12.5413075 1.00  1337
s[11]     8.0309529  3.0007873  3.48924500  7.8178750 14.2218600 1.00  1670
s[12]     5.0217323  3.2541100  0.85547080  4.2604100 12.1319500 1.00  1638
s[13]     3.6086879  2.7577009  0.33576845  2.7746500  9.9319877 1.01  1586
s[14]     3.8120088  2.9398809  0.11511528  2.9008000 10.5162100 1.01  1406
s[15]     3.8120088  2.9398809  0.11511528  2.9008000 10.5162100 1.01  1406
s[16]     4.2864824  2.7317082  0.20583915  3.8591650 10.5358525 1.00  1288
s[17]     4.2864824  2.7317082  0.20583915  3.8591650 10.5358525 1.00  1288
s[18]     8.0299422  2.9994061  3.48373750  7.8163800 14.2214375 1.00  1670
s[19]     8.0299422  2.9994061  3.48373750  7.8163800 14.2214375 1.00  1670
s[20]     3.7493949  2.7594141  0.36068710  2.8354050 10.1724650 1.01  1404
s[21]     4.2840633  2.4435016  1.07865500  3.8193250 10.1012600 1.00  1353
s[22]     4.9913892  3.2843286  0.79797257  4.2488100 12.1212975 1.00  1627
s[23]     4.2833611  2.4445728  1.08869075  3.8201200 10.1020125 1.00  1353
s[24]     7.2563003  3.1514508  1.65784275  7.0998600 13.6267000 1.00  1280
s[25]     8.0309529  3.0007873  3.48924500  7.8178750 14.2218600 1.00  1670
s[26]     5.7115728  2.9856412  0.64600395  5.4661800 12.1413450 1.00  1328
s[27]     3.0370633  2.4360047  0.05432143  2.3610900  8.6001050 1.00  1466
s[28]     2.8394581  2.3774839  0.01932404  2.2165550  8.4572765 1.00  1264
s[29]     2.9636535  2.3827883  0.06952070  2.3188950  8.4958130 1.00  1462
s[30]     5.6389147  2.3871811  1.78233450  5.3348800 10.4688250 1.00  1333
s[31]     5.6772166  2.4473871  1.79405475  5.4221350 10.5252875 1.00  1413
s[32]     3.8888641  2.4664086  1.00611425  3.2363900  9.2164557 1.00  1640
s[33]     5.6146753  2.5266214  1.20128425  5.4187150 10.5112025 1.00  1403
s[34]     5.0504479  2.8488052  0.16165258  4.9307000 10.3563525 1.00  1571
s[35]     5.5358358  2.3990063  1.36496775  5.1851400 10.4149075 1.00  1339
s[36]     3.8873872  2.4682010  1.00279850  3.2375900  9.2162410 1.00  1639
s[37]     5.1719671  2.0979116  1.50492350  5.0037450  9.4887980 1.00  1366
s[38]     3.9645059  2.2198575  0.21447668  3.7599750  8.6118467 1.00  1359
s[39]     5.5282871  2.1565319  1.93735200  5.4747650  9.8374705 1.00  1328
s[40]     5.5428525  2.1812990  1.75050875  5.4955650  9.8424827 1.00  1310
s[41]     5.5428525  2.1812990  1.75050875  5.4955650  9.8424827 1.00  1310
s[42]     5.1719671  2.0979116  1.50492350  5.0037450  9.4887980 1.00  1366
s[43]     2.9179500  1.7561417  0.17144297  2.6595450  6.8950032 1.00  1428
s[44]     2.2955458  1.4871725  0.12545070  2.0484250  6.0142178 1.00  1432
s[45]     3.1203852  1.9227424  0.14014788  2.8856900  7.3371632 1.00  1437
s[46]     2.4805680  1.4481255  0.58780648  2.2064550  6.1975802 1.00  1337
s[47]     2.6459925  1.5514729  0.24280858  2.3553900  6.3471655 1.00  1407
